custnum,saledate,Equipsales
123436,2016-08-01,106602.5
161811,2016-09-01,121893.24
159602,2015-03-01,1070950.53
165408,2018-01-01,209033
165408,2018-10-01,198400
129642,2017-04-01,94761
144527,2018-02-01,284763.15
180733,2017-05-01,730621
233839,2018-05-01,106431
144208,2016-04-01,78684
183361,2018-02-01,79830
244131,2018-10-01,75988
227840,2018-09-01,117467
223740,2017-09-01,156858.72
135841,2015-05-01,162588.55
159834,2019-01-01,222086.96
161122,2018-06-01,795650.81
256259,2016-06-01,967382.05
229799,2015-08-01,127301.2
138862,2015-10-01,113985.72
138862,2015-01-01,104602.87
144052,2016-12-01,108278
147624,2018-07-01,5016963.35
230070,2015-02-01,105732
161261,2015-03-01,86222.22
168953,2016-07-01,186082
131629,2017-07-01,88983
167219,2015-07-01,200555
240667,2018-05-01,92733.32
122908,2018-11-01,212825
131629,2016-12-01,148460
238983,2015-04-01,75017.35
223316,2017-04-01,97185
159936,2015-05-01,179514.84
107590,2016-08-01,97234.42
124242,2016-03-01,95918.25
243546,2017-08-01,92504
169062,2018-10-01,80799
175547,2018-07-01,150882
162132,2018-04-01,93626
179594,2018-02-01,91454
136943,2016-01-01,133101.84
141966,2015-06-01,178237
144782,2015-07-01,183585
155866,2017-04-01,995769.12
166322,2017-03-01,80619.79
244126,2017-04-01,104691
135603,2018-08-01,88117
168829,2017-12-01,108547
162989,2018-06-01,144564
136943,2016-09-01,112446
251680,2018-06-01,91509.12
146351,2018-09-01,145234.56
237924,2017-05-01,118543
124932,2018-03-01,100899
168732,2017-08-01,239097.06
135841,2016-07-01,325988.11
223740,2018-05-01,260747
172534,2015-10-01,97971
223662,2016-09-01,122918
109359,2018-06-01,84656
182380,2019-01-01,86100.3
161811,2018-05-01,474213
132737,2016-09-01,212735.31
178992,2018-10-01,120686
123887,2018-06-01,134328
155253,2017-07-01,130742
900900,2015-04-01,354656
179809,2017-09-01,92660
247158,2015-02-01,86741
229799,2019-01-01,88482.77
227142,2017-03-01,246188
256283,2015-03-01,146033
167706,2017-08-01,78880
141574,2018-01-01,142260.17
141574,2018-10-01,81300
152663,2015-03-01,165633.5
176083,2017-05-01,94172.51
167297,2015-11-01,138294
128874,2015-10-01,433059
128874,2015-01-01,107544
100803,2017-03-01,424592.71
256259,2018-05-01,840745
179241,2018-02-01,84043
107963,2018-09-01,135129
252687,2017-08-01,207641.06
100803,2015-12-01,141945
109874,2015-12-01,185794
169733,2018-05-01,97537
151287,2016-06-01,501468.61
155667,2017-06-01,210590
163053,2017-08-01,160206
245100,2017-05-01,108324
249972,2016-12-01,105731
254791,2018-08-01,167140
172735,2017-05-01,88235
146831,2018-07-01,160574
223316,2016-02-01,195304
237217,2016-04-01,176774.82
178764,2018-07-01,100449.6
143385,2018-05-01,79962.12
222356,2015-02-01,203100
600600,2015-01-01,534378.42
600600,2015-10-01,784596.82
251382,2015-06-01,126226
232223,2018-03-01,150549
123822,2017-06-01,87310
223781,2015-04-01,3400869
120310,2015-03-01,438940
223316,2018-03-01,116944
155124,2016-03-01,111615
237217,2016-02-01,125730.07
172534,2018-07-01,2083553.36
165408,2018-11-01,152586
107246,2018-10-01,190692.24
174759,2017-06-01,154532
146773,2017-11-01,137745
256127,2017-12-01,77351
152351,2017-11-01,102471.16
130682,2017-06-01,3004934
182381,2019-02-01,79479
241449,2017-07-01,124878
256519,2017-05-01,1128767.49
128074,2015-12-01,107743
244126,2018-12-01,92461
159834,2016-03-01,366422.5
122908,2015-10-01,177592
122908,2015-01-01,175673
248018,2019-01-01,109134
230581,2017-07-01,366674
127441,2016-09-01,117084.26
171265,2017-02-01,83581
170782,2017-06-01,94806
254688,2017-08-01,126864.42
254903,2018-01-01,162398
155110,2018-07-01,86507
142060,2016-06-01,76819
155253,2018-08-01,128429
107246,2016-04-01,194672.76
256382,2018-09-01,721629
120310,2018-06-01,517381
150473,2015-03-01,80875.99
238983,2017-07-01,86792
155253,2017-02-01,84779
170518,2015-03-01,148563.61
155182,2018-01-01,95646
155182,2018-10-01,126766
256283,2018-11-01,211249.4
170123,2017-06-01,88759.11
143472,2017-06-01,116478.68
155866,2017-08-01,824344.9
233329,2018-04-01,84793.12
255962,2017-03-01,726524.28
171265,2015-07-01,76450
124932,2018-12-01,107849
106779,2018-04-01,127320
251382,2017-06-01,91859.4
241670,2016-08-01,161589
147624,2019-02-01,952695.79
151142,2016-02-01,96879
179977,2018-11-01,118322
173144,2019-01-01,119815
500500,2015-09-01,128029.54
170123,2017-07-01,85010
171935,2019-02-01,136574
138667,2018-12-01,97194
255962,2016-06-01,547610.64
186522,2018-10-01,199817
251382,2017-07-01,83036
233839,2016-01-01,234743
233839,2016-10-01,129040.22
171782,2018-09-01,137804
255314,2018-03-01,214700.28
107246,2017-03-01,274685.85
155232,2017-07-01,213187.95
172443,2017-10-01,82981
245775,2018-05-01,90411.48
256382,2017-07-01,1327703
123477,2018-09-01,91176
255170,2017-10-01,90741
255170,2017-01-01,134759
159602,2017-07-01,745033.07
133176,2017-02-01,560535.28
171935,2018-05-01,482279
232016,2017-08-01,77863
225850,2015-03-01,113877
147470,2018-08-01,97120
165909,2018-09-01,168566
255314,2018-06-01,131643.22
170518,2017-12-01,263793.28
155124,2016-04-01,131122
124919,2017-05-01,135715.48
162454,2015-12-01,278951.2
126638,2017-07-01,1469103
123822,2018-05-01,104230
139257,2017-09-01,130656
245100,2018-07-01,153383
107590,2015-04-01,81288
172241,2015-12-01,84481.72
144782,2017-11-01,81093.77
144002,2016-03-01,175657
223137,2018-03-01,1290151
151287,2016-07-01,430886.42
151287,2019-01-01,459255.74
221990,2015-08-01,118870.9
173144,2018-08-01,140292
244036,2018-11-01,178299.04
133357,2018-10-01,77135
138862,2016-04-01,171918.17
235185,2015-07-01,116044.42
130682,2018-12-01,158857
129642,2015-06-01,90833
139982,2018-01-01,76334.93
152663,2015-10-01,255687
152663,2015-01-01,172398
223662,2016-07-01,103473.1
104798,2016-08-01,89814
254490,2017-11-01,81517
170244,2018-04-01,92131
167219,2015-08-01,348645
175547,2018-06-01,161932
245727,2018-04-01,138593
148239,2018-07-01,114124.5
155581,2017-09-01,147956.64
237693,2015-06-01,85113
169632,2017-09-01,107646
240896,2018-09-01,144773.5
165803,2017-08-01,1054121.6
155006,2015-12-01,311009
155848,2017-10-01,1657479
155848,2017-01-01,529645
254438,2017-06-01,114900
123436,2016-06-01,76180
107590,2016-10-01,96056
138103,2015-09-01,112593
225850,2018-05-01,116517
172419,2017-04-01,178728.42
146773,2016-06-01,117227
100056,2016-03-01,96177
133176,2016-11-01,746129.67
177248,2018-03-01,126116
153832,2017-07-01,285382
155667,2017-09-01,128433
161122,2015-09-01,560484.46
180130,2017-04-01,3306947.68
138106,2017-09-01,225141
244131,2016-05-01,150951
155124,2016-02-01,85670
128074,2015-06-01,93430
223781,2017-05-01,4590965
137788,2018-10-01,131772
241126,2015-07-01,133301
131088,2015-02-01,106661.8
170518,2018-05-01,523790
229799,2017-08-01,325344.59
150973,2016-07-01,88038
243427,2017-12-01,76141.3
180406,2018-05-01,156112.4
241449,2018-06-01,208317.9
249972,2016-09-01,143142
230581,2016-04-01,168136
165803,2016-11-01,961701.3
249972,2018-02-01,92697
148507,2016-07-01,216907.33
139260,2015-07-01,82644
168953,2015-12-01,157234
232509,2016-12-01,78593.24
171756,2018-09-01,130344
161122,2018-03-01,630516.64
141491,2016-07-01,96533.12
162454,2015-04-01,180165
245830,2018-10-01,106928
164396,2017-10-01,132382.71
256268,2018-06-01,123578.54
255237,2015-12-01,168784
168153,2018-02-01,87601
243427,2017-06-01,82940.76
169139,2017-01-01,248756
169139,2017-10-01,298678
170518,2017-02-01,117822.92
127441,2015-04-01,146990
108870,2016-02-01,88184
159602,2017-09-01,926398
144109,2015-01-01,193503
106036,2016-10-01,100120.25
152213,2017-10-01,180155.8
152213,2017-01-01,194813.48
171736,2018-11-01,222898
164396,2017-11-01,91180
140882,2017-09-01,84684
172231,2018-09-01,99899
200200,2016-06-01,193896
135825,2017-07-01,138333.68
168829,2018-04-01,121247
123368,2017-03-01,118228
700700,2015-11-01,95296
163654,2015-07-01,84794
237217,2015-11-01,126277.75
169139,2018-01-01,222264
169139,2018-10-01,396223
254010,2016-09-01,149835
155120,2017-09-01,98497
234236,2015-12-01,280457.05
144527,2017-03-01,311770.51
230559,2015-07-01,84289
175019,2016-02-01,171386.46
169487,2017-08-01,77714.44
168732,2016-09-01,113630.19
250961,2016-08-01,246705
168829,2015-10-01,81062
163654,2017-10-01,102887
256382,2017-06-01,1746585
170125,2017-08-01,102117
240896,2015-05-01,185821
600600,2018-04-01,481608.62
109874,2018-06-01,485769.03
237217,2016-12-01,206239.5
240930,2015-06-01,87148
146831,2017-05-01,121828
155866,2016-02-01,374038
163053,2015-03-01,393800.48
172534,2018-08-01,252004.3
223427,2017-06-01,75627
243759,2017-11-01,121793
152663,2016-02-01,202186
167219,2017-05-01,182927
149743,2017-12-01,83995.64
126730,2017-04-01,349976
125859,2017-05-01,99643
247158,2017-03-01,230937.08
240896,2018-07-01,345841.15
244126,2015-05-01,78910
181369,2018-07-01,108975
144430,2017-07-01,77238.62
169214,2018-06-01,124202
179977,2018-03-01,296621
105642,2015-09-01,187716.49
