custnum,saledate,Equipsales
105751,8/1/2015,17883.12
105751,9/1/2015,2627
105751,10/1/2015,12152
105751,11/1/2015,9152
105751,12/1/2015,11991.9
105751,1/1/2016,1832
105751,2/1/2016,15581
105751,3/1/2016,16951.8
105751,4/1/2016,23159.25
105751,5/1/2016,11691
105751,6/1/2016,22358.7
105751,7/1/2016,31571.2
105751,8/1/2016,15116.9
105751,9/1/2016,6556
105751,10/1/2016,23314.18
105751,11/1/2016,11581
105751,12/1/2016,9717
105751,1/1/2017,5236
105751,2/1/2017,2111
105751,3/1/2017,7951
105751,4/1/2017,37185.87
105751,5/1/2017,11874.75
105751,6/1/2017,37627
105751,7/1/2017,31125.14
105751,8/1/2017,25121.75
105751,9/1/2017,11385
105751,10/1/2017,14611
105751,11/1/2017,15244.48
105751,12/1/2017,4782
105751,1/1/2018,6429
105751,2/1/2018,5114
105751,3/1/2018,17567
105751,4/1/2018,36233.8
105751,5/1/2018,29558
105751,6/1/2018,51181.9
105751,7/1/2018,28192
105751,8/1/2018,17165
105751,9/1/2018,16267
105751,10/1/2018,6262
105751,11/1/2018,7963
105751,12/1/2018,5792
105751,1/1/2019,19172
107963,1/1/2014,1
107963,2/1/2014,1
107963,3/1/2014,1
107963,4/1/2014,1
107963,5/1/2014,1
107963,6/1/2014,1
107963,7/1/2014,1
107963,8/1/2014,1
107963,9/1/2014,1
107963,10/1/2014,1
107963,11/1/2014,1
107963,12/1/2014,1
107963,1/1/2015,1
107963,2/1/2015,1
107963,3/1/2015,1
107963,4/1/2015,1
107963,5/1/2015,1
107963,6/1/2015,1
107963,7/1/2015,1
107963,8/1/2015,1
107963,9/1/2015,1
107963,10/1/2015,1
107963,11/1/2015,1
107963,12/1/2015,1
107963,1/1/2016,1
107963,2/1/2016,1
107963,3/1/2016,1
107963,4/1/2016,1
107963,5/1/2016,1
107963,6/1/2016,1
107963,7/1/2016,1
107963,8/1/2016,1
107963,9/1/2016,1
107963,10/1/2016,1
107963,11/1/2016,1
107963,12/1/2016,1
107963,1/1/2017,1
107963,2/1/2017,1
107963,3/1/2017,1
107963,4/1/2017,1
107963,5/1/2017,1
107963,6/1/2017,1
107963,7/1/2017,1
107963,8/1/2017,1
107963,9/1/2017,1
107963,10/1/2017,1
107963,11/1/2017,1
107963,12/1/2017,1
107963,1/1/2018,71935
107963,2/1/2018,49871
107963,3/1/2018,63744.5
107963,4/1/2018,69118
107963,5/1/2018,96988
107963,6/1/2018,96133
107963,7/1/2018,133924
107963,8/1/2018,142113
107963,9/1/2018,135129
107963,10/1/2018,55871
107963,11/1/2018,51212
107963,12/1/2018,43491
107963,1/1/2019,51316
108277,1/1/2014,28668.15
108277,2/1/2014,12179
108277,3/1/2014,15598
108277,4/1/2014,6813
108277,5/1/2014,16688
108277,6/1/2014,11589
108277,7/1/2014,31889
108277,8/1/2014,16271
108277,9/1/2014,14321
108277,10/1/2014,24769
108277,11/1/2014,4485
108277,12/1/2014,18851.76
108277,1/1/2015,7673.85
108277,2/1/2015,11428
108277,3/1/2015,14586
108277,4/1/2015,12352
108277,5/1/2015,16548.5
108277,6/1/2015,11141
108277,7/1/2015,8973
108277,8/1/2015,1493
108277,9/1/2015,3819
108277,10/1/2015,14937.5
108277,11/1/2015,13875
108277,12/1/2015,4177
108277,1/1/2016,3646
108277,2/1/2016,6275
108277,3/1/2016,7735
108277,4/1/2016,2234.4
108277,5/1/2016,767
108277,6/1/2016,11386
108277,7/1/2016,988
108277,8/1/2016,4271
108277,9/1/2016,4958
108277,10/1/2016,4189
108277,11/1/2016,597
108277,12/1/2016,9368
108277,1/1/2017,2312
108277,2/1/2017,1
108277,3/1/2017,6111
108277,4/1/2017,5322
108277,5/1/2017,4655
108277,6/1/2017,12284
108277,7/1/2017,8295
108277,8/1/2017,3117
108277,9/1/2017,3734
108277,10/1/2017,6895
108277,11/1/2017,4672
108277,12/1/2017,49972
108277,1/1/2018,39172.65
108277,2/1/2018,31551
108277,3/1/2018,22718
108277,4/1/2018,2111
108277,5/1/2018,8164
108277,6/1/2018,19112
108277,7/1/2018,8231
108277,8/1/2018,11776
108277,9/1/2018,1
108277,10/1/2018,5421
108277,11/1/2018,1643
108277,12/1/2018,22382
108277,1/1/2019,268
108503,1/1/2014,13854
108503,2/1/2014,8671
108503,3/1/2014,12217
108503,4/1/2014,8817
108503,5/1/2014,26151
108503,6/1/2014,25432
108503,7/1/2014,28211
108503,8/1/2014,18183
108503,9/1/2014,21977
108503,10/1/2014,14966
108503,11/1/2014,18257
108503,12/1/2014,14391
108503,1/1/2015,9311.9
108503,2/1/2015,1185
108503,3/1/2015,16812
108503,4/1/2015,31188
108503,5/1/2015,44641
108503,6/1/2015,41755
108503,7/1/2015,31751
108503,8/1/2015,12559
108503,9/1/2015,26191
108503,10/1/2015,23423
108503,11/1/2015,21191
108503,12/1/2015,28288
108503,1/1/2016,17259
108503,2/1/2016,12831
108503,3/1/2016,25447
108503,4/1/2016,14163
108503,5/1/2016,13131
108503,6/1/2016,44114
108503,7/1/2016,43999
108503,8/1/2016,11762
108503,9/1/2016,27793
108503,10/1/2016,22556
108503,11/1/2016,9456
108503,12/1/2016,11259
108503,1/1/2017,4747
108503,2/1/2017,4466
108503,3/1/2017,11549
108503,4/1/2017,13427
108503,5/1/2017,12539
108503,6/1/2017,29919
108503,7/1/2017,15153
108503,8/1/2017,7243
108503,9/1/2017,9117
108503,10/1/2017,11171
108503,11/1/2017,3154
108503,12/1/2017,4261
108503,1/1/2018,4936
108503,2/1/2018,1391
108503,3/1/2018,1818
108503,4/1/2018,4221
108503,5/1/2018,23154.56
108503,6/1/2018,29625.12
108503,7/1/2018,31546.91
108503,8/1/2018,24542.15
108503,9/1/2018,21176.53
108503,10/1/2018,23817.98
108503,11/1/2018,21715.95
108503,12/1/2018,15813.4
108503,1/1/2019,6222.9
109330,1/1/2014,17671
109330,2/1/2014,12314
109330,3/1/2014,15971
109330,4/1/2014,28518
109330,5/1/2014,48915
109330,6/1/2014,43123
109330,7/1/2014,41152
109330,8/1/2014,29118
109330,9/1/2014,25735
109330,10/1/2014,23997
109330,11/1/2014,24563
109330,12/1/2014,21755
109330,1/1/2015,22991
109330,2/1/2015,7321
109330,3/1/2015,9759
109330,4/1/2015,14511
109330,5/1/2015,13638.66
109330,6/1/2015,32881
109330,7/1/2015,25927
109330,8/1/2015,32411
109330,9/1/2015,17392
109330,10/1/2015,13198
109330,11/1/2015,16191
109330,12/1/2015,24141
109330,1/1/2016,17761
109330,2/1/2016,15515
109330,3/1/2016,18198.6
109330,4/1/2016,24192
109330,5/1/2016,23964
109330,6/1/2016,39229
109330,7/1/2016,26568
109330,8/1/2016,36969
109330,9/1/2016,15429
109330,10/1/2016,21195
109330,11/1/2016,25128
109330,12/1/2016,13718
109330,1/1/2017,25698
109330,2/1/2017,11355
109330,3/1/2017,12421
109330,4/1/2017,18442
109330,5/1/2017,26144
109330,6/1/2017,21933
109330,7/1/2017,41932
